SkillMoveID	是否忽略重力	僵直帧数
1	1	128
2	0	50
3	0	33
4	0	13
5	0	12
6	0	12
7	0	62
8	0	15
9	0	29
10	0	11
11	0	34
12	0	17
13	0	40
14	0	28
15	0	21
16	0	17
17	0	16
18	0	18
19	0	25
20	0	19
21	0	35
22	0	18
23	1	31
24	1	21
25	1	47
26	1	36
27	0	33
28	0	16
29	0	23
30	0	9
31	0	56
37	0	49
38	0	45
39	1	33
40	1	32
41	0	34
42	0	33
43	0	26
44	0	26
45	0	38
46	0	31
47	0	45
48	1	15
49	1	22
50	1	22
51	1	26
52	1	26
53	1	32
54	1	32
55	0	16
56	0	35
57	0	15
58	0	20
59	0	18
60	0	14
61	0	25
62	0	46
63	0	44
64	1	27
65	1	32
66	1	80
67	1	80
68	0	25
69	0	14
70	1	47
71	1	22
72	1	38
73	1	32
74	1	16
75	1	22
76	1	23
77	0	49
78	0	38
79	0	38
80	0	20
81	0	18
82	1	55
83	0	57
84	0	73
85	1	121
86	1	28
87	1	8
88	1	33
89	1	33
90	1	33
91	1	33
92	1	41
93	1	31
94	1	10
97	1	18
98	1	41
99	1	40
100	1	32
101	1	70
102	1	24
103	1	59
104	0	60
105	0	30
106	0	18
107	1	46
108	0	160
109	0	160
110	0	160
111	0	160
112	1	25
113	1	31
114	1	33
115	1	31
116	1	21
117	1	16
118	1	16
119	1	17
120	1	16
121	1	16
122	1	21
123	0	52
124	0	66
125	1	8
126	1	38
127	1	37
128	1	44
129	1	37
130	1	31
131	1	32
132	1	43
133	1	17
134	1	73
135	1	61
136	1	41
137	1	41
138	1	31
139	1	31
140	1	46
141	1	16
142	1	40
143	1	54
144	1	31
145	1	43
146	1	43
147	1	16
148	1	91
149	1	38
150	1	31
151	1	48
152	1	33
153	1	41
154	1	51
155	1	38
156	1	36
157	1	26
158	1	11
159	1	55
160	1	21
161	1	11
162	1	7
163	1	81
164	1	142
165	1	17
166	1	16
167	1	76
168	1	78
169	1	33
170	1	33
171	1	21
172	1	67
173	1	67
174	1	66
175	1	8
176	1	44
177	1	35
178	1	34
179	1	69
180	1	47
181	1	61
182	1	35
183	1	64
184	1	37
185	1	60
186	1	35
187	1	57
188	1	32
189	1	75
190	1	34
191	1	62
192	1	31
193	1	27
194	1	78
195	1	53
198	0	31
199	1	46
200	1	33
201	1	34
202	1	39
