KungfuID	NpcTemplateID	SkillID1	SkillLevel1	SkillID2	SkillLevel2	SkillID3	SkillLevel3	SkillID4	SkillLevel4	SkillID5	SkillLevel5	SkillID6	SkillLevel6	SkillID7	SkillLevel7	SkillID8	SkillLevel8	SkillID9	SkillLevel9	SkillID10	SkillLevel10	HideSkillID1	HideSkillLevel1	HideSkillID2	HideSkillLevel2	HideSkillID3	HideSkillLevel3	HideSkillID4	HideSkillLevel4	HideSkillID5	HideSkillLevel5	HideSkillID6	HideSkillLevel6	HideSkillID7	HideSkillLevel7	HideSkillID8	HideSkillLevel8	HideSkillID9	HideSkillLevel9	HideSkillID10	HideSkillLevel10
10002		232		233		235		258		257		252		240		18604		9007		9003		21693																			
10003		232		233		2572		258		257		252		240		242		9007		9003		21693																			
10021		179		180		182		186		2645		132		100		228		9007		9003																					
10028		138		101		2663		133		136		132		100		228		9007		9003		30649		30647																	
10026		400		415		403		418		412		480		424		23733		9007		9003																					
10062		400		415		403		401		418		412		480		424		9007		9003																					
10014		367		301		370		358		369		371		2681		346		9007		9003		5844		6911																	
10015		364		365		310		358		366		372		2681		346		9007		9003																					
10080		569		555		556		2724		568		550		537		575		9007		9003																					
10081		2716		547		553		2707		568		550		537		575		9007		9003		15127																			
10176		2232		2957		2235		2223		2226		2230		2216		2228		9007		9003		6663		6662		25047		25048													
10175		2211		2210		2212		2223		2226		2218		2215		2228		9007		9003		21302		13430																	
10225		3108		3093		3105		3089		18481		3094		3114		3118		9007		9003		18776																			
10224		3095		3096		3098		3089		18481		3094		3114		3118		9007		9003		18779		18801		18811															
10268		5258		5638		5367		5257		5259		5270		5268		5269		9007		9003		5368		5369		5370		5354		6919											
10145		1589		1646		1651		18322		1645		1656		1663		1580		9007		9003		6545		18333																	
10242		3962		3959		3967		3966		3975		4910		3969		3970		9007		9003		18633		18634		32640		32641		32642											
10243		3962		3959		3967		3966		3982		3985		3969		3970		9007		9003																					
10389		13044		13047		13045		13046		13040		13042		13048		13424		9007		9003		13059		13060		13051		13119													
10390		13044		13046		13050		13055		13067		13042		13040		13424		9007		9003		13059		13060		13051		13119													
10447		14064		14065		14066		14067		14068		14074		14084		14076		9007		9003		14302		14223		14308		21324		14298		14299		30797		30564		33116			
10448		14137		14138		14139		14140		14141		14074		14084		14076		9007		9003		14303		14361		21324		14301		14300											
10144		1589		1646		1651		18322		1645		1656		1663		1580		9007		9003		6545		18333																	
10464		16028		16460		16168		16601		16166		17057		16169		16085		9007		9003		16628		16633		16375		17078		17079		16454		16459		16608					
10533		19737		19818		19827		20259		19828		20049		20053		20084		9007		9003		20230		20231		20017		20944		20804		20721									
10585		22143		22144		22150		22327		22320		22321		22344				9007		9003		22146		22147																	
10615		24371		24372		24375		24373		24380		24379		24491		25114		9007		9003		24816		24817		24818		24541		24376		24377		24431							
10626		27621		27623		27630		27536		27632		28345		27897		28620		9007		9003		27528		27537		28429		28647		28428		28646		28349							
10627		27551		27554		27556		27536		27635		28345		27897		27582		9007		9003		27528		27537		27637		28429		28428		28349		28485		28486					
10698		32132		32133		32134		32135		32145		32419		32148		32142		9007		9003																					
