SkillName	SkillID
普通攻击-弓攻击	3121
天策_向前乘龙箭	6231
天策_向后乘龙箭	6232
阳明指	179
商阳指	180
厥阴指	183
芙蓉并蒂	186
钟林毓秀	189
兰摧玉折	190
快雪时晴	2636
万花_快雪时晴伤害	6233
万花_快雪定身锁足调用	6900
万花_快雪时晴伤害增强	14656
万花_快雪定身锁足调用增强	14657
兰摧玉折移动	23946
钟林毓秀移动	23947
花间_雪弃单体	33222
花间_雪弃aoe	33231
剑飞惊天	310
八卦洞玄_1点气	466
八卦洞玄_2点气	467
八卦洞玄_3点气	468
八卦洞玄_4点气	469
八卦洞玄_5点气	470
八卦洞玄_6点气	471
八卦洞玄_7点气	472
八卦洞玄_8点气	473
八卦洞玄_9点气	474
八卦洞玄_10点气	475
七星拱瑞_NPC	709
七星拱瑞_player	710
四象轮回_普通	896
太极无极_锁足定身伤害	2299
太极无极_普通伤害	2329
两仪化形_无形额外伤害1豆	3425
两仪化形_无形额外伤害2豆	3428
两仪化形_无形额外伤害3豆	3429
两仪化形_无形额外伤害4豆	3430
两仪化形_无形额外伤害5豆	3431
两仪化形_无形额外伤害6豆	3432
两仪化形_无形额外伤害7豆	3433
两仪化形_无形额外伤害8豆	3434
两仪化形_无形额外伤害9豆	3435
两仪化形_无形额外伤害10豆	3436
两仪化形_正常伤害1豆	3439
两仪化形_正常伤害2豆	3440
两仪化形_正常伤害3豆	3441
两仪化形_正常伤害4豆	3442
两仪化形_正常伤害5豆	3443
两仪化形_正常伤害6豆	3444
两仪化形_正常伤害7豆	3445
两仪化形_正常伤害8豆	3446
两仪化形_正常伤害9豆	3447
两仪化形_正常伤害10豆	3448
万世不竭飞剑1单体	18649
万世不竭飞剑2单体	18650
万世不竭飞剑3单体	18651
万世不竭飞剑4单体	18652
万世不竭飞剑5单体	18653
万世不竭释放	18654
移动万世不竭飞剑1单体	18900
移动万世不竭飞剑2单体	18901
移动万世不竭飞剑3单体	18902
移动万世不竭飞剑4单体	18903
移动万世不竭飞剑5单体	18904
移动万世不竭释放	18983
太极无极连续命中目标	28379
太极无极命中锁足减速加成	28380
剑气长江	561
玳弦急曲	2707
雷霆通道子技能	28981
剑气长江伤害子技能	30524
捕风式	238
寒月耀	3961
蝎心	2209
蟾啸	2210
蝎心_DOT	6621
蟾啸_单体	6626
求凰实际减伤	28611
雷震子	3089
迷神钉	3090
3091 毒蒺藜(新孔雀)	3091
梅花针	3092
暴雨梨花针	3093
夺魄箭（记得改飞天）	3095
追命箭（记得改飞天）	3096
裂石弩（记得改飞天）	3097
穿心弩（记得改飞天）	3098
逐星箭（记得改飞天）	3101
蚀肌弹	3105
千机变_重弩伤害	3366
暴雨梨花针_AOE	6444
裂石弩_单体	6450
蚀肌弹_飞天	18776
夺魄箭_飞天	18779
追命箭_飞天	18801
裂石弩_飞天	18809
逐星箭_飞天	18810
穿心弩_飞天	18811
裂石弩单体_飞天	18812
流火连星	25132
千机连环分身重弩伤害	31015
千机连环分身重弩伤害50%	31025
唐门_幽影应神_额外范围雷震子	32728
唐门_幽影应神_额外范围孔雀翎	32729
唐门_幽影应神_额外范围迷神钉	32730
百里追魂实际伤害子技能	33870
扇形治疗测试	28014
首领扮演活动_蝎心	32213
首领扮演活动_无我无剑	32214
首领扮演活动_快雪时晴	32221
首领扮演活动_快雪时晴伤害	32222
首领扮演活动_玳弦急曲	32229
丢普通雪球_玩家	26243
丢普通雪球_玩家_子技能	26312
神器_精准射击	26880
神器_蓄力猛击	26891
神器_蓄力猛击_子技能1	26924
神器_蓄力猛击_子技能2	26925
神器_蓄力猛击_子技能3	26926
神器_蓄力猛击_子技能4	26927
铸刀_引雷	27015
27296 反隐身道具	27296
歌朵兰漠仙人掌	28085
盗宝贼道具2aoe击倒	28086
南瓜_玩家子弹	28087
盗宝贼道具5aoe减速_放置	28089
盗宝贼道具6aoe拉_放置	28090
南瓜_npc子弹	28568
战斗管家_山寨快雪时晴	28746
快雪时晴伤害子技能	29271
战斗管家_山寨蝎心	29272
凌云梯_霎雪	29697
凌云梯_霎雪子技能	29700
凌云梯_望雪凌霜	29701
奚毒射罔子技能	29834
刀马_环首刀劈	33469
刀马_头锥大刀刀劈	33470
刀马_头锥大刀挥砍母技能	33472
刀马_大招挥砍	33476
竖_刀舞aoe子技能	33485
燕子娘_急救治疗子技能	33491
燕子娘_急救伤害子技能	33492
燕子娘_暗步二段8尺aoe	33495
